time,hi3863,apple_watch,time,hi3863,apple_watch,time,hi3863,apple_watch
1,88,89,40,99,93,79,79,84
2,88,98,41,84,82,80,91,91
3,101,99,42,82,84,81,91,88
4,101,103,43,83,87,82,85,87
5,107,91,44,86,86,83,93,89
6,93,87,45,83,88,84,85,82
7,88,89,46,76,82,85,83,88
8,88,88,47,80,84,86,93,89
9,91,86,48,82,83,87,91,102
10,80,88,49,82,85,88,105,93
11,88,83,50,88,93,89,90,88
12,85,86,51,103,92,90,82,85
13,86,90,52,88,85,91,85,89
14,91,91,53,85.5,82,92,85,84
15,91,92,54,82,85,93,80,89
16,93,87,55,83,83,94,91,92
17,83,88,56,83,78,95,97,96
18,90,90,57,68,74,96,97,82
19,91,98,58,76,83,97,80,81
20,95,84,59,83,84,98,79,85
21,80,87,60,83,83,99,88,91
22,88,86,61,80,84,100,85,88
23,83,85,62,82.5,81,101,83,87
24,85,86,63,82,84,102,86,86
25,85,87,64,86,82,103,85,87
26,86,88,65,82,84,104,85,95
27,85,85,66,78.5,81,105,78,92
28,82,88,67,76,82,106,87.5,94
29,91,87,68,83,83,107,80,83
30,88,93,69,82,84,108,78,84
31,97,94,70,85,87,109,83,86
32,88,85,71,91,96,110,88,91
33,88,94,72,82,86,111,95,84
34,103,93,73,82,87,112,86,87
35,93,95,74,83,83,113,88,91
36,99,83,75,76,82,114,97,84
37,84,85,76,82,81,115,83,85
38,83,93,77,83,82,116,86,85
39,95,95,78,80,81,,,
