序号,心率 (BPM),时间
1,86,2026-05-10 16:53:37
2,82,2026-05-10 16:53:42
3,84,2026-05-10 16:53:57
4,85,2026-05-10 16:54:02
5,84,2026-05-10 16:54:13
6,88,2026-05-10 16:54:18
7,89,2026-05-10 16:54:23
8,88,2026-05-10 16:54:28
9,85,2026-05-10 16:54:43
10,90,2026-05-10 16:54:49
11,95,2026-05-10 16:54:58
12,94,2026-05-10 16:55:04
13,93,2026-05-10 16:55:18
14,96,2026-05-10 16:55:23
15,88,2026-05-10 16:55:29
16,84,2026-05-10 16:55:34
17,86,2026-05-10 16:55:39
18,87,2026-05-10 16:55:43
19,89,2026-05-10 16:55:48
20,88,2026-05-10 16:55:53
21,87,2026-05-10 16:55:58
22,91,2026-05-10 16:56:04
23,86,2026-05-10 16:56:13
24,84,2026-05-10 16:56:19
25,91,2026-05-10 16:56:28
26,89,2026-05-10 16:56:33
27,83,2026-05-10 16:56:38
28,87,2026-05-10 16:56:49
29,88,2026-05-10 16:56:53
30,84,2026-05-10 16:56:58
31,87,2026-05-10 16:57:03
32,86,2026-05-10 16:57:08
33,88,2026-05-10 16:57:13
34,92,2026-05-10 16:57:18
35,95,2026-05-10 16:57:24
36,94,2026-05-10 16:57:29
37,90,2026-05-10 16:57:34
38,89,2026-05-10 16:57:43
39,91,2026-05-10 16:57:48
40,99,2026-05-10 16:57:53
41,88,2026-05-10 16:57:59
42,87,2026-05-10 16:58:03
43,90,2026-05-10 16:58:09
44,92,2026-05-10 16:58:18
45,89,2026-05-10 16:58:23
46,85,2026-05-10 16:58:28
47,86,2026-05-10 16:58:33
48,91,2026-05-10 16:58:38
49,95,2026-05-10 16:58:44
50,91,2026-05-10 16:58:49
51,90,2026-05-10 16:58:53
52,92,2026-05-10 16:58:59
53,88,2026-05-10 16:59:04
54,82,2026-05-10 16:59:19
55,83,2026-05-10 16:59:23
56,88,2026-05-10 16:59:29
57,86,2026-05-10 16:59:34
58,87,2026-05-10 16:59:43
59,90,2026-05-10 16:59:48
60,88,2026-05-10 16:59:53
61,89,2026-05-10 16:59:59
62,85,2026-05-10 17:00:08
63,86,2026-05-10 17:00:13
64,87,2026-05-10 17:00:18
65,92,2026-05-10 17:00:23
66,84,2026-05-10 17:00:29
67,83,2026-05-10 17:00:33
68,86,2026-05-10 17:00:38
69,88,2026-05-10 17:00:43
70,87,2026-05-10 17:00:48
71,81,2026-05-10 17:00:54
72,82,2026-05-10 17:00:58
73,92,2026-05-10 17:01:03
74,91,2026-05-10 17:01:08
75,86,2026-05-10 17:01:13
76,85,2026-05-10 17:01:18
77,87,2026-05-10 17:01:23
78,86,2026-05-10 17:01:28
79,81,2026-05-10 17:01:34
80,82,2026-05-10 17:01:38
81,85,2026-05-10 17:01:48
82,96,2026-05-10 17:01:53
83,86,2026-05-10 17:01:59
84,83,2026-05-10 17:02:04
85,81,2026-05-10 17:02:09
86,85,2026-05-10 17:02:14
87,86,2026-05-10 17:02:23
88,83,2026-05-10 17:02:28
89,94,2026-05-10 17:02:38
90,90,2026-05-10 17:02:43
91,85,2026-05-10 17:02:54
92,86,2026-05-10 17:03:04
93,85,2026-05-10 17:03:08
94,90,2026-05-10 17:03:13
95,83,2026-05-10 17:03:19
96,82,2026-05-10 17:03:23
97,90,2026-05-10 17:03:29
98,88,2026-05-10 17:03:33
99,89,2026-05-10 17:03:38
100,92,2026-05-10 17:03:43
101,86,2026-05-10 17:03:59
102,85,2026-05-10 17:04:04
103,87,2026-05-10 17:04:09
104,83,2026-05-10 17:04:14
105,82,2026-05-10 17:04:18
106,84,2026-05-10 17:04:23
