序号,hi3863,apple_watch,时间,offset_seconds
1,73.0,75.0,2026-05-10 17:11:24,0
2,71.0,73.0,2026-05-10 17:11:36,0
3,71.0,74.0,2026-05-10 17:11:48,0
4,73.0,77.0,2026-05-10 17:12:00,0
5,75.0,76.0,2026-05-10 17:12:07,0
6,75.0,73.0,2026-05-10 17:12:15,0
7,70.0,76.0,2026-05-10 17:12:22,0
8,78.0,75.0,2026-05-10 17:12:30,0
9,79.0,78.0,2026-05-10 17:12:37,0
10,79.0,82.0,2026-05-10 17:12:45,0
11,72.0,78.0,2026-05-10 17:12:52,0
12,67.0,75.0,2026-05-10 17:13:00,0
13,74.0,74.0,2026-05-10 17:13:06,0
14,73.0,75.0,2026-05-10 17:13:12,0
15,70.0,76.0,2026-05-10 17:13:18,0
16,79.0,75.0,2026-05-10 17:13:24,0
17,74.0,74.0,2026-05-10 17:13:30,0
18,74.0,75.0,2026-05-10 17:13:36,0
19,72.0,74.0,2026-05-10 17:13:42,0
20,64.0,75.0,2026-05-10 17:13:48,0
21,71.0,73.0,2026-05-10 17:13:54,0
22,73.0,72.0,2026-05-10 17:14:00,0
23,72.0,73.0,2026-05-10 17:14:08,0
24,73.0,72.0,2026-05-10 17:14:17,0
25,70.0,73.0,2026-05-10 17:14:25,0
26,71.0,74.0,2026-05-10 17:14:34,0
27,74.0,73.0,2026-05-10 17:14:42,0
28,67.0,72.0,2026-05-10 17:14:51,0
29,75.0,73.0,2026-05-10 17:15:00,0
30,76.0,76.0,2026-05-10 17:15:06,0
31,75.0,83.0,2026-05-10 17:15:12,0
32,67.5,88.0,2026-05-10 17:15:18,0
33,90.0,89.0,2026-05-10 17:15:24,0
34,75.0,78.0,2026-05-10 17:15:30,0
35,59.0,71.0,2026-05-10 17:15:36,0
36,74.0,69.0,2026-05-10 17:15:42,0
37,75.0,70.0,2026-05-10 17:15:48,0
38,73.0,74.0,2026-05-10 17:15:54,0
39,66.0,73.0,2026-05-10 17:16:00,0
40,64.0,70.0,2026-05-10 17:16:06,0
41,65.0,68.0,2026-05-10 17:16:13,0
42,63.0,66.0,2026-05-10 17:16:20,0
43,65.0,67.0,2026-05-10 17:16:26,0
44,73.0,68.0,2026-05-10 17:16:33,0
45,73.0,70.0,2026-05-10 17:16:40,0
46,62.0,71.0,2026-05-10 17:16:46,0
47,73.0,69.0,2026-05-10 17:16:53,0
48,74.0,71.0,2026-05-10 17:17:00,0
49,68.0,74.0,2026-05-10 17:17:06,0
50,70.0,76.0,2026-05-10 17:17:13,0
51,81.5,78.0,2026-05-10 17:17:20,0
52,83.0,79.0,2026-05-10 17:17:26,0
53,72.0,76.0,2026-05-10 17:17:33,0
54,71.0,75.0,2026-05-10 17:17:40,0
55,89.0,73.0,2026-05-10 17:17:46,0
56,65.0,71.0,2026-05-10 17:17:53,0
57,66.0,70.0,2026-05-10 17:18:00,0
58,73.0,71.0,2026-05-10 17:18:12,0
59,72.0,72.0,2026-05-10 17:18:24,0
60,71.0,73.0,2026-05-10 17:18:36,0
61,75.0,72.0,2026-05-10 17:18:48,0
62,63.0,73.0,2026-05-10 17:19:00,0
63,70.0,71.0,2026-05-10 17:19:06,0
64,65.0,72.0,2026-05-10 17:19:13,0
65,71.0,71.0,2026-05-10 17:19:20,0
66,74.0,72.0,2026-05-10 17:19:26,0
67,88.0,74.0,2026-05-10 17:19:33,0
68,73.0,82.0,2026-05-10 17:19:40,0
69,68.0,76.0,2026-05-10 17:19:46,0
70,71.0,73.0,2026-05-10 17:19:53,0
71,68.0,72.0,2026-05-10 17:20:00,0
72,71.0,73.0,2026-05-10 17:20:06,0
73,74.0,72.0,2026-05-10 17:20:12,0
74,65.0,73.0,2026-05-10 17:20:18,0
75,67.0,71.0,2026-05-10 17:20:24,0
76,70.0,70.0,2026-05-10 17:20:30,0
77,68.0,71.0,2026-05-10 17:20:36,0
78,67.0,70.0,2026-05-10 17:20:42,0
79,66.0,74.0,2026-05-10 17:20:48,0
80,68.0,73.0,2026-05-10 17:20:54,0
81,72.0,74.0,2026-05-10 17:21:00,0
82,74.0,79.0,2026-05-10 17:21:06,0
83,82.0,77.0,2026-05-10 17:21:12,0
84,67.0,75.0,2026-05-10 17:21:18,0
85,70.0,73.0,2026-05-10 17:21:24,0
86,76.0,74.0,2026-05-10 17:21:30,0
87,73.0,73.0,2026-05-10 17:21:36,0
88,70.0,74.0,2026-05-10 17:21:42,0
89,85.0,75.0,2026-05-10 17:21:48,0
90,70.0,76.0,2026-05-10 17:21:54,0
91,72.0,74.0,2026-05-10 17:22:00,0
92,82.0,77.0,2026-05-10 17:22:06,0
93,75.0,79.0,2026-05-10 17:22:13,0
94,71.0,77.0,2026-05-10 17:22:20,0
95,78.0,78.0,2026-05-10 17:22:26,0
96,72.0,77.0,2026-05-10 17:22:33,0
97,86.0,78.0,2026-05-10 17:22:40,0
98,95.0,88.0,2026-05-10 17:22:46,0
99,70.5,81.0,2026-05-10 17:22:53,0
100,76.0,78.0,2026-05-10 17:23:00,0
